,Residual,Ring,EOMES+,HOPX+,Bulk
vRG,1435.7676457733255,2041.9889591537442,2484.1892275538094,1496.043078543146,1453.3924191075848
oRG,346.9199412131623,914.9958830598649,511.17041587412257,11454.350780084467,887.2776322595907
IP,2051.0340180190124,3738.114360515782,11401.318531926538,2504.616541011906,3503.031063922367
PgS,434.36075308057826,1016.0162165142707,5825.859656465221,497.20050898722434,950.2430824966484
PgG2M,187.66637850538407,328.13018896534606,1358.9502304480807,602.9551671517141,250.39424603699212
OPC,38.01935284894562,34.79817163620761,27.83532778850134,55.40545142320281,32.95277912328328
InCGE,2602.449026967789,3673.107952563041,3515.471896123333,807.0568580084961,3626.7544419228702
InMGE,671.0581714375722,960.8111368123767,720.5240811583833,420.6145809908695,914.145419727303
ExN,4515.175424139989,4959.110015051876,2065.3363071424887,6377.111254051069,4328.030093609215
ExM,563.1682003566159,647.4016200579708,1050.1916001063184,1290.4699871258176,579.0070713296943
ExM-U,46.13065461668013,68.75465633361657,51.55885123241527,70.34245822712569,31.362035096240938
ExDp1,30.405373797007933,48.48906613525243,65.003185416589,94.72950945005596,26.580209619052322
ExDp2,34.75191090591294,44.44394147180562,44.5292256243899,160.86734333503028,32.23536720510608
Per,56.85618820946529,63.73587555519757,10.826363617756579,119.48307623030827,72.0800823276547
End,121.86069664691993,115.5651191149135,33.49138914920459,308.5433163905214,134.57398096871287
Mic,39.51704745005843,48.15258767357148,24.48089127787929,20.12265615787581,46.24246732988805
