,mean,sd,q05,q95,threshold,probability,FDR
RPL7A,-2.378285,0.1771144,-2.559426176548004,-2.0052083969116214,1,1.0,0.0
"RPL36A-HNRNPH2,RPL36A",-2.2177181,0.14506762,-2.3700613737106324,-1.9209671914577486,1,1.0,0.0
GLI3,1.8751789,0.17133081,1.6023265540599823,2.1356394648551937,1,1.0,0.0
RPL37,-2.0520673,0.092835285,-2.1463504552841184,-1.8781001806259159,1,1.0,0.0
RPL37A,-2.3650305,0.11713826,-2.4711473941802975,-2.1509117841720586,1,1.0,0.0
RPL39,-2.3560038,0.11285721,-2.4605669379234314,-2.1387978911399843,1,1.0,0.0
RPL4,-1.9108493,0.14725211,-2.0738484859466553,-1.6216808676719665,1,1.0,0.0
EOMES,-1.9401335,0.038426194,-1.979428470134735,-1.871439015865326,1,1.0,0.0
RPL6,-2.3304837,0.11912985,-2.4510396361351012,-2.1214811921119687,1,1.0,0.0
"H2BC4,H2BC5",-1.8119613,0.060119666,-1.887043285369873,-1.6989144325256347,1,1.0,0.0
RPL9,-2.3794296,0.12531899,-2.5060824155807495,-2.140905570983887,1,1.0,0.0
CLDN5,2.1580238,0.3117292,1.634048068523407,2.6542761087417603,1,1.0,0.0
RPLP0,-2.24791,0.1319996,-2.3931575536727903,-1.9900288581848145,1,1.0,0.0
RPLP1,-2.2290561,0.18117703,-2.415047311782837,-1.8720267951488498,1,1.0,0.0
RPLP2,-2.108518,0.11224793,-2.2259164810180665,-1.88710418343544,1,1.0,0.0
ATP1A1,2.3675518,0.25057054,1.9360195457935334,2.7782947778701783,1,1.0,0.0
ATP1A2,3.3215451,0.122676946,3.1235342979431153,3.521884262561798,1,1.0,0.0
ATP1B2,4.535129,0.18188086,4.209614181518555,4.801678466796875,1,1.0,0.0
RPS13,-2.2610948,0.1146665,-2.378763890266418,-2.0196797013282777,1,1.0,0.0
MCL1,2.3261027,0.1594372,2.0480971455574033,2.576959109306335,1,1.0,0.0
ATP2B4,2.519269,0.24236028,2.0930939435958864,2.90240341424942,1,1.0,0.0
RPS15A,-2.1202192,0.18400463,-2.324952411651611,-1.7473322808742524,1,1.0,0.0
ATP5F1A,2.4500504,0.38652724,1.796540367603302,3.0553864598274227,1,1.0,0.0
EPHB2,2.3957317,0.31867516,1.8648927748203277,2.915446817874908,1,1.0,0.0
RPS17,-2.395334,0.11746644,-2.508305549621582,-2.1693070769309997,1,1.0,0.0
"RPS18,RPS18P9",-2.365355,0.18262812,-2.565655827522278,-2.0020443916320803,1,1.0,0.0
RPS19,-2.307571,0.1640703,-2.4918794989585877,-1.9661752641201018,1,1.0,0.0
SOX9,2.3541315,0.116745576,2.1666394710540775,2.545519733428955,1,1.0,0.0
RPL35A,-2.2319775,0.122293375,-2.364389967918396,-2.0053161978721623,1,1.0,0.0
RPS20,-1.9894156,0.113407634,-2.1028183817863466,-1.7746608018875123,1,1.0,0.0
MEGF10,3.0752738,0.38299504,2.4073484182357787,3.6356260061264036,1,1.0,0.0
ATF4,2.9426105,0.34745187,2.3442598938941956,3.4876129984855653,1,1.0,0.0
MOXD1,3.7141902,0.15648326,3.4537721753120425,3.949887299537658,1,1.0,0.0
MOB3B,1.7896981,0.15171325,1.5221820592880249,2.0370078921318053,1,1.0,0.0
RNF213,2.2064583,0.34334728,1.619525158405304,2.7515774011611938,1,1.0,0.0
MMP15,1.9556161,0.18338604,1.6531866073608399,2.240009999275207,1,1.0,0.0
MMD2,1.8398217,0.19637433,1.528477704524994,2.159646725654602,1,1.0,0.0
MLC1,3.8893828,0.32569608,3.3167165637016294,4.377526760101318,1,1.0,0.0
ARVCF,2.8977287,0.3707352,2.2653152346611023,3.476008760929108,1,1.0,0.0
ROBO1,3.3913205,0.32780463,2.8383846163749697,3.9003138184547423,1,1.0,0.0
ELOVL2,2.1773303,0.27699214,1.7350684285163878,2.6402239322662355,1,1.0,0.0
ROCK2,2.4845757,0.35223407,1.890196055173874,3.0507767915725705,1,1.0,0.0
TFRC,2.510513,0.3623265,1.8925334513187408,3.059053122997284,1,1.0,0.0
MGST3,3.0603187,0.2333788,2.6611864209175113,3.4313458442687987,1,1.0,0.0
MGLL,2.312098,0.21855633,1.9497178018093109,2.659661316871643,1,1.0,0.0
TFPI,3.4630234,0.24810962,3.0433120250701906,3.841390609741211,1,1.0,0.0
ASCL1,-1.8035014,0.16091546,-1.9926296889781951,-1.4944237232208253,1,1.0,0.0
MFGE8,2.684094,0.13245453,2.462178945541382,2.897955358028412,1,1.0,0.0
EMD,3.1951966,0.36168575,2.5826414465904235,3.7660520315170287,1,1.0,0.0
RPL17,-2.1910782,0.20906138,-2.409392070770264,-1.7979522287845615,1,1.0,0.0
RPL18,-2.2767506,0.22157526,-2.523356020450592,-1.8213829278945923,1,1.0,0.0
ENC1,-1.7564204,0.09146802,-1.8480321764945984,-1.569388735294342,1,1.0,0.0
RPL18A,-2.2535863,0.12891743,-2.381706428527832,-2.0133570194244386,1,1.0,0.0
"RPL21,RPL21P28",-2.1587627,0.11126595,-2.2680118680000305,-1.9372143089771272,1,1.0,0.0
MEPCE,2.58061,0.25897622,2.1435198187828064,2.992075729370117,1,1.0,0.0
RPL23,-2.3141184,0.15235142,-2.472140598297119,-2.014908027648926,1,1.0,0.0
RPL24,-2.2836378,0.15464774,-2.4563900351524355,-1.966568398475647,1,1.0,0.0
RPL26,-2.3261611,0.11468409,-2.4422190070152285,-2.1098536968231203,1,1.0,0.0
RPL30,-2.4646974,0.09830884,-2.5647485852241516,-2.2754021763801573,1,1.0,0.0
