,Gene,Total Counts,Removed Counts,Fraction Removed Counts (Mean),Fraction Removed Counts (q05),Fraction Removed Counts (q95),Mean Counts
EFL1,EFL1,7703,6765,0.87822926,0.8573283136440348,0.8975723743995846,104
TRAF6,TRAF6,8312,7279,0.8757219,0.8546679499518768,0.8979788257940328,112
MBIP,MBIP,7710,6736,0.8736706,0.8521400778210116,0.8933852140077821,104
LYPLA1,LYPLA1,7664,6692,0.8731733,0.8508611691022965,0.8943110647181628,103
EPDR1,EPDR1,7676,6696,0.87232935,0.8514851485148515,0.8916102136529442,103
ZNF234,ZNF234,8439,7350,0.8709563,0.8491527432160209,0.8903898566180827,114
PSMA6,PSMA6,7939,6912,0.8706386,0.8494772641390603,0.8924297770500063,107
ISCU,ISCU,8986,7823,0.87057644,0.8495437346984198,0.8924994435789005,121
MPV17,MPV17,7960,6929,0.8704774,0.8492462311557789,0.8917085427135678,107
PCYT1B,PCYT1B,9138,7940,0.8688991,0.8474502079229591,0.8891442328737141,123
CWC22,CWC22,7847,6816,0.86861223,0.8468204409328406,0.8882375430100675,106
SCAMP4,SCAMP4,8329,7232,0.8682915,0.8474006483371354,0.8894224996998439,112
LOXL3,LOXL3,7680,6663,0.86757815,0.8442708333333333,0.8904947916666667,103
GOLGA5,GOLGA5,7693,6673,0.8674119,0.8428441440270376,0.8884700376966073,103
BLZF1,BLZF1,7877,6824,0.86631966,0.8442300368160467,0.8887901485337057,106
CCDC12,CCDC12,7872,6819,0.8662348,0.84375,0.8871951219512195,106
PPHLN1,PPHLN1,8159,7066,0.8660375,0.8447113616864812,0.8858928790292928,110
MMGT1,MMGT1,7623,6596,0.86527616,0.8428440246622064,0.8883641610914338,103
COA6,COA6,7625,6596,0.8650492,0.8418360655737704,0.8860327868852459,103
MRPL12,MRPL12,8063,6967,0.8640704,0.8421183182438299,0.8854024556616644,108
ATXN7,ATXN7,9449,8157,0.86326593,0.840088898296116,0.8877129855011112,127
TMEM199,TMEM199,7747,6681,0.8623983,0.8389053827287982,0.8825351749064154,104
IFT57,IFT57,8429,7269,0.8623799,0.839482738165856,0.8814806026812196,113
CHAMP1,CHAMP1,8351,7199,0.86205244,0.8366662675128728,0.8854029457549994,112
AIMP1,AIMP1,8490,7318,0.8619552,0.8404004711425206,0.8846878680800943,114
NFU1,NFU1,7775,6701,0.8618649,0.8405144694533762,0.8842443729903537,105
PIGX,PIGX,7601,6550,0.8617287,0.8414682278647546,0.8831732666754375,102
FAM120AOS,FAM120AOS,8121,6993,0.86110085,0.8405368796946189,0.8816648196034971,109
STYX,STYX,8077,6955,0.861087,0.8375634517766497,0.8837439643431967,109
TOB1,TOB1,7842,6750,0.8607498,0.8403468502932925,0.881280285641418,105
DNTTIP2,DNTTIP2,7990,6877,0.8607009,0.8379224030037546,0.8846057571964956,107
SLC4A1AP,SLC4A1AP,8110,6980,0.86066586,0.8361282367447596,0.8822441430332922,109
INPP5B,INPP5B,7899,6795,0.86023545,0.8371945815926066,0.8816305861501456,106
EMC2,EMC2,8056,6926,0.85973185,0.8376365441906654,0.8810824230387289,108
ZNF623,ZNF623,7706,6623,0.8594602,0.8385673501167921,0.8820399688554373,104
NAA40,NAA40,7754,6664,0.8594274,0.8368583956667527,0.8823832860459118,104
UPF2,UPF2,9390,8070,0.85942495,0.8398296059637913,0.8801916932907349,126
TTLL3,TTLL3,8128,6983,0.85912895,0.8359990157480315,0.8826279527559056,109
ZNF415,ZNF415,8304,7127,0.8582611,0.8382707129094412,0.8774084778420038,112
NUCB2,NUCB2,7691,6599,0.85801584,0.835131972435314,0.8785593550903653,103
DONSON,DONSON,8193,7028,0.85780543,0.8364457463688515,0.8797754180397901,110
HIPK1,HIPK1,10443,8953,0.85732067,0.8378818347218232,0.8778128890165661,141
RANBP3,RANBP3,10265,8799,0.8571846,0.837506088650755,0.8761811982464686,138
SIMC1,SIMC1,7722,6619,0.85716134,0.8360528360528361,0.8765863765863766,104
DHX34,DHX34,8893,7619,0.85674125,0.8349263465647139,0.8768694478803554,120
EFR3A,EFR3A,8896,7621,0.8566772,0.8382419064748201,0.873988309352518,120
HAPLN2,HAPLN2,9423,8071,0.85652125,0.8363578478191659,0.8773214475220206,127
VPS25,VPS25,7780,6663,0.8564267,0.8343187660668381,0.875706940874036,105
NGDN,NGDN,7909,6773,0.85636616,0.8329750916677203,0.8762169680111266,106
INO80E,INO80E,7992,6843,0.8562312,0.8343343343343343,0.8782532532532532,108
UCHL1,UCHL1,71424,40,0.00056003587,0.00043402777777777775,0.0008400537634408602,965
MEF2C,MEF2C,52112,28,0.00053730427,0.0003262204482652748,0.0007291986490635554,704
ARFGEF3,ARFGEF3,13087,7,0.00053488195,0.00022923511882020327,0.0012989990066478185,176
KCTD12,KCTD12,9379,5,0.00053310586,0.00021324234993069622,0.0019191811493762662,126
FAM49A,FAM49A,16888,9,0.0005329228,0.00023685457129322596,0.0011842728564661299,228
