,Gene,Total Counts,Removed Counts,Fraction Removed Counts (Mean),Fraction Removed Counts (q05),Fraction Removed Counts (q95),Mean Counts
HSPA8,HSPA8,116590,32283,0.27689338,0.26908825799811303,0.2846556308431255,1575
ZNF37A,ZNF37A,84387,30656,0.36327872,0.3553627928472395,0.3714908694467157,1140
ZNF879,ZNF879,65270,28768,0.4407538,0.43119350390684846,0.4507583882334916,882
HSP90AA1,HSP90AA1,64917,28180,0.43409276,0.42375648905525515,0.4447525301538888,877
RPS2,RPS2,138192,28168,0.20383234,0.19682036586777815,0.21077920574273473,1867
USP22,USP22,59861,27689,0.46255493,0.45284910041596366,0.4720101568634002,808
MAP4K4,MAP4K4,45050,27288,0.60572696,0.5943840177580466,0.6173584905660378,608
CCDC151,CCDC151,62238,27022,0.43417206,0.42440309778591856,0.44390886596613,841
FNBP1L,FNBP1L,48300,26885,0.55662525,0.5453209109730849,0.5675569358178054,652
MORF4L1,MORF4L1,45573,26642,0.5846005,0.5726197529238803,0.5955280538915586,615
SFPQ,SFPQ,79954,26077,0.32615003,0.31709482952697804,0.335305300547815,1080
CDC42,CDC42,39985,25619,0.64071524,0.6284106539952482,0.6535700887832937,540
HNRNPA0,HNRNPA0,42577,25330,0.5949221,0.583413580101933,0.6057965568264556,575
OAZ1,OAZ1,36210,25087,0.69281965,0.6792046396023198,0.7069041701187517,489
SRRM2,SRRM2,36737,24985,0.68010455,0.6674469880501946,0.6938236655143316,496
SERINC1,SERINC1,48430,24859,0.51329756,0.5027668800330374,0.5238695023745612,654
ZNF782,ZNF782,38726,24716,0.6382275,0.6254454371739916,0.6510613024841192,523
MATR3,MATR3,50138,24400,0.4866568,0.476125892536599,0.49808528461446405,677
STC2,STC2,61212,24390,0.3984513,0.388681957786055,0.40773051035744623,827
CEP170,CEP170,48370,24137,0.49900764,0.4874095513748191,0.5104817035352491,653
KIDINS220,KIDINS220,45815,23953,0.52282006,0.5119065808141439,0.5341700316490232,619
CFDP1,CFDP1,37584,23938,0.63692,0.6242816091954023,0.6491592166879523,507
HNRNPH3,HNRNPH3,56443,23462,0.415676,0.40509894938256297,0.4254026185709477,762
ATF4,ATF4,39894,23462,0.5881085,0.5751992780869304,0.5997894420213566,539
HNRNPH1,HNRNPH1,65662,23358,0.35573086,0.34647132283512533,0.36572142182693185,887
RPS4X,RPS4X,171557,23295,0.13578577,0.12943220037655123,0.14219180797052874,2318
ITM2B,ITM2B,38251,23223,0.6071214,0.5945726909100416,0.6197746464144728,516
EPS8L2,EPS8L2,58485,23133,0.39553732,0.3857741301188339,0.40490724117295035,790
HNRNPD,HNRNPD,42895,22823,0.5320667,0.520433616971675,0.5443291758946264,579
RPS25,RPS25,75402,22778,0.3020875,0.2929497891302618,0.31052226731386434,1018
RPL15,RPL15,156618,22749,0.1452515,0.13877715205148833,0.15168116053071806,2116
ZNF383,ZNF383,65739,22712,0.34548745,0.33517394545095,0.355740123822997,888
ZNF529,ZNF529,43900,22695,0.5169704,0.5047835990888383,0.5296583143507972,593
MEX3A,MEX3A,35312,22285,0.63108855,0.6192512460353421,0.643095831445401,477
ATRX,ATRX,58749,22150,0.3770277,0.36613389164070875,0.38761510834226964,793
TRIO,TRIO,38290,22071,0.5764168,0.5644032384434579,0.5888743797336119,517
EVL,EVL,42876,22068,0.51469356,0.5032885530366639,0.5269847933575893,579
CALM2,CALM2,75897,21649,0.28524184,0.2762559784971738,0.2942935820915188,1025
