,g,pattern,membership
48,HSPB2,2,0.9793521957696008
127,ACP2,10,0.6154276397296584
130,ADAMTSL4,14,0.8285754920105738
132,ALKBH5,8,0.7175454887645201
135,ANKS1A,12,0.902882429515596
138,APOF,8,0.9241984483490073
139,APRT,11,0.9902678004998885
140,ARFGEF2,0,0.6346815684848656
141,ARL9,7,0.9422549394835554
142,ARMC5,0,0.9680920196827881
143,ATP11A,0,0.516530332342398
144,BBS5,0,0.7228188160021227
145,BCL7B,7,0.9981422640449392
148,BRIX1,0,0.6598977025800538
149,BTBD9,13,0.6936331645341663
151,C12orf65,0,0.9177932098485928
155,CCDC12,3,0.5653068472234548
158,CCNT1,11,0.6850498356907189
165,CNOT10,14,0.9195326220933844
175,CUL7,7,0.9993405606672361
177,DCAF15,7,0.43440832002936464
178,DCAF7,3,0.7692268110132543
186,E2F3,11,0.9991608040198311
187,ECHDC1,13,0.9843688016127929
189,EEF2K,8,0.9285825403057338
192,ELOF1,11,0.9908438171597082
194,ENO3,2,0.9993716881627217
196,EVPL,14,0.9992262420028784
197,EXOSC4,14,0.6113119576767336
198,FAM114A2,14,0.9484074224911905
200,FBXO10,13,0.777715065044659
202,FDX1,14,0.9863650753765002
203,FOXD3,0,0.9080880931677293
204,FXN,14,0.9048630360735185
205,GATAD1,14,0.9681418838666144
206,GEMIN4,0,0.823441103721522
209,GP2,14,0.881545081257069
210,GPC4,5,0.9998538403775529
212,GRID2,11,0.5057119114820915
213,GTPBP10,0,0.5615921106668124
214,GTPBP2,13,0.7685580807092344
215,GZF1,11,0.9725671400009989
218,HNRNPR,13,0.43042398102585533
220,HSD11B1,0,0.9822621103912899
221,IFIT1,2,0.9847987263871261
223,IFT52,5,0.976155185919426
224,ILKAP,11,0.99287510468841
225,IMP4,14,0.9802609123167638
228,KCTD5,5,0.6442159089858718
229,KDM5A,5,0.9407007527003469
230,KIAA0586,14,0.9773452592508335
231,KIAA1191,14,0.9975765828874089
233,KMT2D,13,0.8089387038351551
234,KPNA4,0,0.7337714475035083
235,LIF,11,0.99961815317645
237,LOXL3,14,0.9491264920651015
244,MED1,10,0.7794009738314959
247,MPLKIP,14,0.9980216543920791
248,MRPL37,13,0.8256383249400904
249,MRPL49,8,0.9612509016079769
250,MSANTD2,14,0.984723104192496
252,MTMR1,7,0.8332884737710881
253,MTMR14,14,0.4419049621143469
254,MYO19,11,0.9964940784365227
255,NAB2,12,0.6169602571616373
256,NASP,11,0.9998812981487916
257,NAT8B,9,0.5854395769381728
260,NOA1,7,0.977444419529696
261,NOL9,5,0.9987221477337215
263,NSMCE2,0,0.6363266287673064
274,PDCD10,0,0.9372477403738088
275,PFDN1,4,0.9353175257156476
277,PIGM,2,0.928258100856125
278,PIK3CD,14,0.8712297533946913
282,PPARG,5,0.8997400547912372
283,PPHLN1,14,0.8595645822688082
284,PPP1R11,11,0.5184139017037283
286,PRPF19,11,0.7796657773349506
287,PRPF3,5,0.689901732551846
289,PSMD4,11,0.9821413153960717
290,PSMF1,13,0.863060303911622
294,RBM18,13,0.7643916881095915
298,RNF126,8,0.8846146067211725
299,RNF139,10,0.47089552978231064
303,RRAGC,13,0.6019546411973449
304,RSBN1,12,0.8700141854134558
307,SELENOF,11,0.7806647389724258
311,SETD3,14,0.9804267364528635
314,SGTB,8,0.7995895187181009
315,SH3D21,13,0.7670922312942454
318,SLC35C2,12,0.46839154553664847
319,SLC5A8,7,0.7364527012161416
322,SNAPC5,8,0.9423548519011716
324,SNRPD1,7,0.8128694155188871
326,SPATA46,0,0.8921244378751559
327,SUPT16H,11,0.6767181029892858
329,TBC1D20,8,0.9914031073079145
330,TCTN1,5,0.9990646720806046
331,TEX10,8,0.4878783524324303
332,TFCP2,8,0.974559790267076
333,TKFC,7,0.6597528740999523
335,TMED1,0,0.9719542655185739
338,TMEM126B,7,0.8440214497032539
341,TMSB15B,11,0.9996094197919344
342,TMUB2,14,0.7125465552358731
343,TOR1AIP2,5,0.9942274732758054
347,TTC17,8,0.973966173358948
348,TTC4,13,0.8835261198373517
350,USE1,10,0.49075611778586514
351,UTP15,0,0.880754059251819
352,VMA21,13,0.9999740840944522
355,WDR24,0,0.9944067563796057
358,ZDHHC6,5,0.993984584470295
360,ZNF106,5,0.8811603332719966
362,ZNF211,5,0.8868782369584803
364,ZNF317,11,0.6980441271630659
365,ZNF568,11,0.9998783217098686
368,AATF,10,0.9805984449114039
369,ABCC1,5,0.6151484513946842
370,ABHD17A,11,0.9927817505818874
372,ABHD18,12,0.63676555508729
373,ACAA1,13,0.9503443560584776
374,ACAD9,5,0.968655552803646
375,ADAM20,11,0.9617635941772051
376,ADAT2,8,0.9902945592756244
377,ADPGK,10,0.5308979371166591
378,AGBL5,13,0.99981057462706
379,AKT2,5,0.99197275874844
380,ANKRD62,7,0.695462736001413
381,ARL1,14,0.7793317205616682
382,"ARL2-SNX15,SNX15",12,0.9092595684067984
383,ARL5B,7,0.9225311793395916
384,ARMC7,0,0.7955279301495272
385,ATAD2B,7,0.9820709802818778
386,ATF1,0,0.9684085083499164
387,ATP5MF,7,0.950795757800283
388,ATPSCKMT,12,0.6743740723146846
389,BAG4,8,0.7131449184887405
391,BLZF1,14,0.9424755610369464
392,BOD1L1,12,0.9191016526350398
393,BORCS7,8,0.8100625274002631
394,BPNT1,0,0.8695668595562243
395,BRD9,5,0.6510909867769298
396,BRMS1,7,0.7035466980004909
397,C12orf40,11,0.41625329962247615
398,C16orf70,7,0.9394340962988164
399,C1orf122,11,0.9795452151345665
400,C1orf174,13,0.9953218357223432
401,CALML5,0,0.9935618878019992
402,CARS2,12,0.6846739283557324
403,CCNT2,8,0.6376749020079502
404,CD46,5,0.9235744164686773
405,CDK7,0,0.7402290055680923
406,CDPF1,10,0.9971103921178923
407,CEP295,2,0.8371626169193257
408,CEP85,2,0.9850693476382226
409,CEP89,13,0.986478257327403
410,CHCHD4,7,0.9956486882998967
411,CHMP7,7,0.7418648907535652
412,CIAO2B,2,0.6806470795177877
413,CIR1,14,0.8969475556237932
415,CLCC1,12,0.7971413179391129
416,CNNM1,10,0.4071495276786514
417,COA6,2,0.6908126580213377
418,COPB1,11,0.9960470259722958
420,COPS7B,9,0.8841033590635909
421,COX14,10,0.6614227315608152
422,COX18,8,0.8549137750542097
423,CPSF2,7,0.9973199546420134
424,CRAMP1,10,0.7624426221662717
425,CSTF1,14,0.9560301211229791
426,CTNNBL1,13,0.9443070779176744
427,CWF19L1,8,0.47281414526338056
428,"CXorf40B,CXorf40A",14,0.5196682532087741
429,DAGLB,14,0.9972420684612232
430,DCTN4,3,0.8380637123388048
431,DNAJC16,13,0.9976964480273008
432,DNAJC19,8,0.9297081230913475
433,DNTTIP1,2,0.7421553156888384
434,DPH3,5,0.856414570298883
435,DPM1,0,0.8610622768087326
436,DXO,2,0.9945022636353542
437,EAPP,13,0.5422847073887765
438,EDEM1,2,0.4987801884146851
439,EI24,7,0.9888566811210276
440,EIF2B4,5,0.997309716518208
441,EIPR1,12,0.6204117125511399
442,ELAVL3,11,0.5585183675297776
444,ELP3,11,0.896731261195363
446,EML2,12,0.8330253147553554
447,ENGASE,0,0.9954780861205107
448,ERMARD,8,0.7726302226088397
449,"ERV3-1-ZNF117,ZNF117",10,0.41601363251252066
450,ETFDH,14,0.7869026786006283
451,EXOSC8,11,0.6465321882633058
452,FAM149B1,0,0.7122505500638973
453,FAM169B,8,0.9943554604112294
454,"FAM185A,FAM185BP",8,0.8331354944188862
455,FAM219B,13,0.9995215574724045
456,FAM229A,0,0.643114034122115
457,FAM92A,5,0.9641863147908829
458,FASTKD5,7,0.9903153236530186
459,FBXO46,13,0.5622843489896348
460,FITM1,0,0.7303376171941235
461,FMR1,13,0.9999534529214713
462,FOPNL,14,0.515307472609824
463,FOXF2,2,0.9291566740782954
