,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval,FDR,Receptors
56,0.9195352399249744,4,ERBB4,0.16383975274358922,0.06585124579790386,-7.5552051898240515,5.8243151083915,12.33580593416495,SE,10,0.009436136669010203,1.4566754729916822,0.0007891654968261719,24.32075075162429,-10.94976041439698,3.3945552245729287,0.06541200247300272,0.8699555658587201,0.8699555658587201,HBEGF
54,0.9808356770222629,4,FGFR1,0.09594774986850078,0.016843515994642264,-1.098096625186003,4.800847547214507,11.218596673368067,SE,10,0.861272667560222,1837.7727202442177,0.004671335220336914,11.406533622348189,-3.7481635573791383,2.6500669321931354,0.10354553632188335,0.8699555658587201,0.8699555658587201,NCAM1
53,0.9618694979148908,4,EFNB2,0.09594774986850078,0.034173691720510095,-3.5507631258640147,5.858882517442438,16.426944229128488,SE,10,3.1435094140986517,1829.5455163489444,0.0006780624389648438,16.311866623704212,-5.425614447770201,1.8748513219061862,0.17092048430212126,0.8699555658587201,0.8699555658587201,EPHB1
47,0.9999519162967685,4,MDK,0.05618887083671218,4.5399929762484854e-05,-1.689373135786648,5.967962858246346,24.11018266589455,SE,10,1.3097305605863054,410250220.77886057,0.0008645057678222656,12.589086643549479,-2.929373390318709,1.240000254532061,0.26547100476904406,0.8699555658587201,0.8699555658587201,LRP1
55,0.7094383597991892,4,VEGFA,0.09594774986850078,0.35306863410192285,-5.344644563515242,6.250855553834659,15.624359320387791,SE,10,0.26598840737908214,6.7892490239466445,0.0007283687591552734,19.899629499006668,-6.5128021184936795,1.1681575549784373,0.27978013697915505,0.8699555658587201,0.8699555658587201,EPHB2
48,0.9999519162967685,4,MIF,0.05618887083671218,4.5399929762484854e-05,-0.27512175620913215,5.15617749393078,17.997815585224473,SE,10,2.1670935879345365,678804213.3634441,0.0010862350463867188,9.760583884394448,-1.412206504251273,1.1370847480421409,0.28626917872912394,0.8699555658587201,0.8699555658587201,TNFRSF10D
42,0.9999519162967686,4,FGFR2,0.05618887083671218,4.5399929762484854e-05,-3.7115857212784147,5.647267931837223,21.64364719288256,SE,10,2.248266992016294,704230364.3213573,0.0008671283721923828,16.633511814533012,-4.7744872761591655,1.0629015548807508,0.3025543393133012,0.8699555658587201,0.8699555658587201,XPR1
31,0.9999519162967685,4,CCL21,0.05618887083671218,4.5399929762484854e-05,-0.5451842776665918,4.174899081900276,11.826790274297712,SE,10,2.5122647629917902,786923054.7792834,0.0010387897491455078,10.300708927309367,-1.5802110391011617,1.0350267614345698,0.30898094313816793,0.8699555658587201,0.8699555658587201,CCR7
52,0.9999473380685777,4,CORT,0.09594774986850078,4.5399929762484854e-05,-0.9653116780335145,4.127096190370306,8.502409689446473,SE,10,0.26975199552986345,70443686.13995084,0.0008680820465087891,11.140963728043213,-1.944760914657845,0.9794492366243306,0.3223348185986258,0.8699555658587201,0.8699555658587201,SSTR4
30,0.9999519162967685,4,BMP7,0.05618887083671218,4.5399929762484854e-05,-4.40707426557969,4.604957383558988,14.457670794678382,SE,10,3.7513157654082114,1175034138.5338142,0.0006372928619384766,18.024488903135563,-5.348163047037307,0.9410887814576165,0.33199799214824355,0.8699555658587201,0.8699555658587201,PTPRK
33,0.9999519162967685,4,COPA,0.05618887083671218,4.5399929762484854e-05,-2.25020218639401,5.4284027036958395,19.97426015891192,SE,10,6.685483697058508,2094110991.4270744,0.0009577274322509766,13.710744744764202,-3.128104310322829,0.8779021239288194,0.3487769151937392,0.8699555658587201,0.8699555658587201,SORT1
49,0.9999519162967686,4,PLXNB2,0.05618887083671218,4.5399929762484854e-05,-2.169704200605683,5.605388462977032,21.289566772615203,SE,10,6.304269914280133,1974702432.708888,0.0009684562683105469,13.549748773187549,-3.0445451112561734,0.8748409106504904,0.34961861683664786,0.8699555658587201,0.8699555658587201,SEMA4C
46,0.9999519162967685,4,INS,0.05618887083671218,4.5399929762484854e-05,-3.096821796562495,4.0830504022091585,11.36360980797807,SE,10,9.107860972839678,2852878360.918743,0.000980377197265625,15.403983965101173,-3.881533769917654,0.7847119733551593,0.3757039136973028,0.8699555658587201,0.8699555658587201,INSR
51,0.9999519162967685,4,VEGFB,0.05618887083671218,4.5399929762484854e-05,-3.263473852302424,4.990660146119058,16.92145117122855,SE,10,35.77784528253318,11206785096.01959,0.0009663105010986328,15.73728807658103,-4.013372048920768,0.7498981966183442,0.3865084642366857,0.8699555658587201,0.8699555658587201,NRP1
35,0.9999519162967686,4,DLL1,0.05618887083671218,4.5399929762484854e-05,-1.5041722623674958,5.108421902478432,17.686401451355856,SE,10,15.615832966777527,4891386911.975576,0.0010609626770019531,12.218684896711174,-2.2394714117295393,0.7352991493620435,0.3911709020185483,0.8699555658587201,0.8699555658587201,NOTCH2
39,0.8902739307754317,4,EPO,0.05618887083671218,0.1163650485356647,-2.218010840849592,4.380553056279561,12.062338679930734,SE,10,76.94473831931766,7142.96773073672,0.0007908344268798828,13.646362053675368,-2.626228501236282,0.40821766038668983,0.5228755395470108,0.8699555658587201,0.8699555658587201,EFNB2
41,0.818708329495284,4,FGF6,0.05618887083671218,0.20906678067802403,-1.0772433981607001,4.676820725765555,12.951022505479804,SE,10,24.62198345126706,1091.2106872145482,0.0006289482116699219,11.364827168297584,-1.474662387382823,0.39741898922212293,0.528425217552242,0.8699555658587201,0.8699555658587201,FGFR1
40,0.8499954835704304,4,FAM3C,0.05618887083671218,0.166618840186187,-2.011154186724996,6.514303230064648,25.737210642607085,SE,10,43.92840387329798,2535.9269758515447,0.0007140636444091797,13.232648745426175,-2.399622718387217,0.3884685316622214,0.5331055068707953,0.8699555658587201,0.8699555658587201,HLA-C
37,0.7943145357270821,4,EFNA2,0.05618887083671218,0.2444823329651363,-2.6782810940472093,4.601952910318048,12.303662742013197,SE,10,31.21743845205566,1174.0048421743606,0.0006253719329833984,14.566902560070602,-3.023257625014857,0.3449765309676476,0.5569706627969063,0.8699555658587201,0.8699555658587201,EPHA7
34,0.7388399177226272,4,DLK1,0.05618887083671218,0.33372814571081555,-1.6519030846153129,4.096122441034837,9.263340062243092,SE,10,26.762422585135553,761.476382027643,0.0006330013275146484,12.51414654120681,-1.9475875343038513,0.29568444968853846,0.5866006182045463,0.8699555658587201,0.8699555658587201,NOTCH3
38,0.6452381263384301,4,EFNB3,0.05618887083671218,0.5191027247154495,-4.275962094522551,4.712637391332431,11.135838479278267,SE,10,18.57400001044471,400.1600263567207,0.0006341934204101562,17.762264561021286,-4.520879903999749,0.24491780947719732,0.6206765593154104,0.8699555658587201,0.8699555658587201,EPHB6
0,0.9999541781168118,4,CD72,0.03290529699999993,4.5399929762484854e-05,-3.259732427366683,3.957943912818236,14.601307769663455,SE,10,45.101563199466284,15556228257.540934,0.0005555152893066406,15.72980522670955,-3.4570467647283287,0.19731433736164572,0.6568974247851556,0.8699555658587201,0.8699555658587201,SEMA4D
45,0.49149022945348275,4,INHBE,0.05618887083671218,0.9768340803092606,-2.505053296295954,4.412984694298272,7.927457058517729,SE,10,20.924998355260282,392.1201340359159,0.0004646778106689453,14.220446964568092,-2.6929874329218553,0.18793413662590108,0.6646416082535376,0.8699555658587201,0.8699555658587201,ACVR2A
19,0.9999541781168118,4,PROS1,0.03290529699999993,4.5399929762484854e-05,-4.337377178646064,4.77572736473085,21.234135421880264,SE,10,58.716058624058554,20252078765.05676,0.0005462169647216797,17.88509472926831,-4.517320538498607,0.17994335985254306,0.6714219207016194,0.8699555658587201,0.8699555658587201,AXL
28,0.9999541781168118,4,WNT5A,0.03290529699999993,4.5399929762484854e-05,-4.156917219803206,3.5996773452283666,12.119261779685996,SE,10,63.17498062619846,21790030080.343185,0.0005466938018798828,17.524174811582597,-4.332261974233756,0.17534475443054998,0.6754047915357999,0.8699555658587201,0.8699555658587201,FZD3
18,0.9999541781168118,4,PDGFB,0.03290529699999993,4.5399929762484854e-05,-4.346070188283609,4.381252930002504,17.893554556401952,SE,10,59.502430284403836,20523310540.053844,0.0005505084991455078,17.902480748543404,-4.521143993068781,0.1750738047851721,0.6756413693013938,0.8699555658587201,0.8699555658587201,PDGFRB
