"","x"
"1","A1BG"
"2","A1CF"
"3","A2M"
"4","A2ML1"
"5","A3GALT2"
"6","A4GALT"
"7","A4GNT"
"8","AAAS"
"9","AACS"
"10","AADAC"
"11","AADACL2"
"12","AADACL3"
"13","AADACL4"
"14","AADAT"
"15","AAGAB"
"16","AAK1"
"17","AAMDC"
"18","AAMP"
"19","AANAT"
"20","AAR2"
"21","AARD"
"22","AARS,AARS1"
"23","AARS2"
"24","AARSD1"
"25","AASDH"
"26","AASDHPPT"
"27","AASS"
"28","AATF"
"29","AATK"
"30","ABAT"
"31","ABCA1"
"32","ABCA10"
"33","ABCA12"
"34","ABCA13"
"35","ABCA2"
"36","ABCA3"
"37","ABCA4"
"38","ABCA5"
"39","ABCA6"
"40","ABCA7"
"41","ABCA8"
"42","ABCA9"
"43","ABCB1"
"44","ABCB10"
"45","ABCB11"
"46","ABCB4"
"47","ABCB5"
"48","ABCB6"
"49","ABCB7"
"50","ABCB8"
"51","ABCB9"
"52","ABCC1"
"53","ABCC10"
"54","ABCC11"
"55","ABCC12"
"56","ABCC2"
"57","ABCC3"
"58","ABCC4"
"59","ABCC5"
"60","ABCC6P1,ABCC6,ABCC6P2"
"61","ABCC8"
"62","ABCC9"
"63","ABCD1"
"64","ABCD2"
"65","ABCD3"
"66","ABCD4"
"67","ABCE1"
"68","ABCF1"
"69","ABCF3"
"70","ABCG1"
"71","ABCG2"
"72","ABCG4"
"73","ABCG5"
"74","ABCG8"
"75","ABHD1"
"76","ABHD10"
"77","ABHD11"
"78","ABHD12"
"79","ABHD12B"
"80","ABHD13"
"81","ABHD14A,ABHD14A-ACY1"
"82","ABHD14B"
"83","ABHD15"
"84","ABHD16A"
"85","ABHD16B"
"86","ABHD17A"
"87","ABHD17B"
"88","ABHD17C"
"89","ABHD18"
"90","ABHD2"
"91","ABHD3"
"92","ABHD4"
"93","ABHD5"
"94","ABHD6"
"95","ABHD8"
"96","ABI1"
"97","ABI2"
"98","ABI3"
"99","ABI3BP"
"100","ABITRAM"
"101","ABL1"
"102","ABL2"
"103","ABLIM1"
"104","ABLIM2"
"105","ABLIM3"
"106","ABO"
"107","ABR"
"108","ABRA"
"109","ABRACL"
"110","ABRAXAS1"
"111","ABRAXAS2"
"112","ABT1"
"113","ABTB1"
"114","ABTB2"
"115","ACAA1"
"116","ACAA2"
"117","ACACA"
"118","ACACB"
"119","ACAD10"
"120","ACAD11,NPHP3-ACAD11"
"121","ACAD8"
"122","ACAD9"
"123","ACADL"
"124","ACADM"
"125","ACADS"
"126","ACADSB"
"127","ACADVL"
"128","ACAN"
"129","ACAP1,KCTD11"
"130","ACAP2"
"131","ACAP3"
"132","ACAT1"
"133","ACAT2"
"134","ACBD3"
"135","ACBD4"
"136","ACBD5"
"137","ACBD6"
"138","ACBD7"
"139","ACCS"
"140","ACCSL"
"141","ACD"
"142","ACE"
"143","ACE2"
"144","ACER1"
"145","ACER2"
"146","ACER3"
"147","ACHE"
"148","ACIN1"
"149","ACKR1"
"150","ACKR2"
"151","ACKR3"
"152","ACKR4"
"153","ACLY"
"154","ACMSD"
"155","ACO1"
"156","ACO2"
"157","ACOD1"
"158","ACOT1"
"159","ACOT11"
"160","ACOT12"
"161","ACOT13"
"162","ACOT2"
"163","ACOT4"
"164","ACOT6"
"165","ACOT7"
"166","ACOT8"
"167","ACOT9"
"168","ACOX1"
"169","ACOX2"
"170","ACOX3"
"171","ACOXL"
"172","ACP1"
"173","ACP2"
"174","ACP4"
"175","ACP5"
"176","ACP6"
"177","ACP7"
"178","ACR"
"179","ACRBP"
"180","ACRV1"
"181","ACSBG1,IDH3A"
"182","ACSBG2"
"183","ACSF2"
"184","ACSF3"
"185","ACSL1"
"186","ACSL3"
"187","ACSL4"
"188","ACSL5"
"189","ACSL6"
"190","ACSM1"
"191","ACSM2A,ACSM2B"
"192","ACSM3"
"193","ACSM4"
"194","ACSM5"
"195","ACSM6"
"196","ACSS1"
"197","ACSS2"
"198","ACSS3"
"199","ACTA1"
"200","ACTA2"
"201","ACTBL2"
"202","ACTC1"
"203","ACTG2"
"204","ACTL10"
"205","ACTL6A"
"206","ACTL6B"
"207","ACTL7A"
"208","ACTL8"
"209","ACTL9"
"210","ACTN1"
"211","ACTN2"
"212","ACTN3"
"213","ACTN4"
"214","ACTR10"
"215","ACTR1A"
"216","ACTR1B"
"217","ACTR2"
"218","ACTR3"
"219","ACTR3B,ACTR3C"
"220","ACTR5"
"221","ACTR6"
"222","ACTR8"
"223","ACTRT1"
"224","ACTRT2"
"225","ACTRT3"
"226","ACVR1"
"227","ACVR1B"
"228","ACVR1C"
"229","ACVR2A"
"230","ACVR2B"
"231","ACVRL1"
"232","ACY1,ABHD14A-ACY1"
"233","ACY3"
"234","ACYP1"
"235","ACYP2"
"236","ADA"
"237","ADA2"
"238","ADAD1"
"239","ADAD2"
"240","ADAL"
"241","ADAM10"
"242","ADAM11"
"243","ADAM12"
"244","ADAM15"
"245","ADAM17"
"246","ADAM18"
"247","ADAM19"
"248","ADAM2"
"249","ADAM20"
"250","ADAM21"
"251","ADAM22"
"252","ADAM23"
"253","ADAM28"
"254","ADAM29"
"255","ADAM30"
"256","ADAM32"
"257","ADAM33"
"258","ADAM7"
"259","ADAM8"
"260","ADAM9"
"261","ADAMDEC1"
"262","ADAMTS1"
"263","ADAMTS10"
"264","ADAMTS12"
"265","ADAMTS13"
"266","ADAMTS14"
"267","ADAMTS16"
"268","ADAMTS17"
"269","ADAMTS18"
"270","ADAMTS19"
"271","ADAMTS2"
"272","ADAMTS20"
"273","ADAMTS3"
"274","ADAMTS4"
"275","ADAMTS5"
"276","ADAMTS6"
"277","ADAMTS7"
"278","ADAMTS8"
"279","ADAMTS9"
"280","ADAMTSL1"
"281","ADAMTSL2"
"282","ADAMTSL3"
"283","ADAMTSL4"
"284","ADAMTSL5"
"285","ADAP1"
"286","ADAP2"
"287","ADARB1"
"288","ADARB2"
"289","ADAT1"
"290","ADAT2"
"291","ADAT3"
"292","ADCK1"
"293","ADCK2"
"294","ADCK5"
"295","ADCY1"
"296","ADCY10"
"297","ADCY2"
"298","ADCY3"
"299","ADCY4"
"300","ADCY5"
"301","ADCY6"
"302","ADCY7"
"303","ADCY8"
"304","ADCY9"
"305","ADCYAP1"
"306","ADCYAP1R1"
"307","ADD1"
"308","ADD2"
"309","ADD3"
"310","ADGB"
"311","ADGRA1"
"312","ADGRA2"
"313","ADGRA3"
"314","ADGRB1"
"315","ADGRB2"
"316","ADGRB3"
"317","ADGRD1"
"318","ADGRD2"
"319","ADGRE1"
"320","ADGRE2,ADGRE3"
"321","ADGRE5"
"322","ADGRF1"
"323","ADGRF2"
"324","ADGRF3"
"325","ADGRF4"
"326","ADGRF5"
"327","ADGRG1"
"328","ADGRG2"
"329","ADGRG4"
"330","ADGRG5"
"331","ADGRG6"
"332","ADGRG7"
"333","ADGRL1"
"334","ADGRL2"
"335","ADGRL3"
"336","ADGRL4"
"337","ADGRV1"
"338","ADH1B,ADH1C,ADH1A"
"339","ADH4"
"340","ADH5"
"341","ADH6"
"342","ADH7"
"343","ADHFE1"
"344","ADI1"
"345","ADIG"
"346","ADIPOQ-AS1,ADIPOQ"
"347","ADIPOR1"
"348","ADIPOR2"
"349","ADIRF"
"350","ADK"
"351","ADM"
"352","ADM2"
"353","ADM5"
"354","ADNP"
"355","ADNP2"
"356","ADO"
"357","ADORA1"
"358","ADORA2B"
"359","ADORA3"
"360","ADPGK"
"361","ADPRH"
"362","ADPRHL1"
"363","ADPRHL2"
"364","ADPRM"
"365","ADRA1A"
"366","ADRA1B"
"367","ADRA1D"
"368","ADRA2A"
"369","ADRA2B"
"370","ADRA2C"
"371","ADRB1"
"372","ADRB2"
"373","ADRB3"
"374","ADRM1"
"375","ADSL"
"376","ADSS2,ADSS"
"377","ADSSL1,ADSS1"
"378","ADTRP"
"379","AEBP1"
"380","AEBP2"
"381","AEN"
"382","AFAP1"
"383","AFAP1L1"
"384","AFAP1L2"
"385","AFDN"
"386","AFF1"
"387","AFF2"
"388","AFF3"
"389","AFF4"
"390","AFG1L"
"391","AFG3L2"
"392","AFM"
"393","AFMID"
"394","AFP"
"395","AFTPH"
"396","AGA"
"397","AGAP1"
"398","AGAP2"
"399","AGAP3"
"400","AGAP7P,AGAP10P,TIMM23B-AGAP6,AGAP5,BMS1P2-AGAP9,AGAP6,BMS1P4-AGAP5,AGAP4,AGAP12P,LOC107984026,PARGP1-AGAP4,AGAP9"
