Sample_ID	DSP_Sample_ID	Plate	dsp_plate	roi	segment_type	segment	aoi	roi_dimension	nuclei	RawReads	TrimmedReads	StitchedReads	AlignedReads	DeduplicatedReads	SequencingSaturation	UID	NegGeoMean_01	NegGeoSD_01	GeoLOD2.5_01	NormFactorNeg_01	NormFactorQ3	NormFactorHK
HCA_F_BRA8739362	DSP1001660005647_B12	DSP1001660005647	1.00166E+12	17	exclusion_sub2	ROI17_exclusion sub2	ROI17_exclusion sub2-aoi-001	21123.70575	525	5441	898	444	227	219	3.524229075	HCA_F_BRA8739362	1	1	1	0.043598114	0.016814596	0.00611505
HCA_F_BRA8739361	DSP1001660005647_A12	DSP1001660005647	1.00166E+12	8	geometric	Geometric Segment	Geometric Segment-aoi-001	160842.6909	1382	14379	8487	7804	5170	4878	5.647969052	HCA_F_BRA8739361	1	1	1	0.043598114	0.016814596	0.007387528
HCA_F_BRA8739364	DSP1001660005647_D12	DSP1001660005647	1.00166E+12	23	leftover	ROI23_Rest	ROI23_Rest-aoi-001	174374.9589	1875	19910	3409	1960	1093	1036	5.215004575	HCA_F_BRA8739364	1	1	1	0.043598114	0.016814596	0.00611505
HCA_F_BRA8739363	DSP1001660005647_C12	DSP1001660005647	1.00166E+12	20	geometric	Geometric Segment	Geometric Segment-aoi-001	18833.12448	194	25244	4989	3331	695	665	4.316546763	HCA_F_BRA8739363	1	1	1	0.043598114	0.016814596	0.00611505
HCA_F_BRA8739360	DSP1001660005648_A11	DSP1001660005648	1.00166E+12	3	exclusion_sub4	ROI3_exclusion sub4	ROI3_exclusion sub4-aoi-001	19647.06225	290	46235	4094	751	68	62	8.823529412	HCA_F_BRA8739360	1	1	1	0.043598114	0.016814596	0.00611505
HCA_F_BRA8739352	DSP1001660005648_A10	DSP1001660005648	1.00166E+12	3	exclusion_sub2	ROI3_exclusion sub2	ROI3_exclusion sub2-aoi-001	19511.14285	430	54166	7245	1543	157	144	8.280254777	HCA_F_BRA8739352	1	1	1	0.043598114	0.016814596	0.00611505
HCA_F_BRA8739366	DSP1001660005648_A09	DSP1001660005648	1.00166E+12	2	leftover	ROI2_leftover	ROI2_leftover-aoi-001	120130.332	1546	57711	48812	2486	712	689	3.230337079	HCA_F_BRA8739366	1	1	1	0.043598114	0.016814596	0.00611505
HCA_F_BRA8739288	DSP1001660005648_E02	DSP1001660005648	1.00166E+12	19	geometric	Geometric Segment	Geometric Segment-aoi-001	98209.5797	1072	64541	12724	6559	1924	1780	7.484407484	HCA_F_BRA8739288	1	1	1	0.043598114	0.016814596	0.00651278
HCA_F_BRA8739280	DSP1001660005648_E01	DSP1001660005648	1.00166E+12	18	geometric	Geometric Segment	Geometric Segment-aoi-001	196152.6879	1974	65374	26019	3050	560	538	3.928571429	HCA_F_BRA8739280	1	1	1	0.043598114	0.016814596	0.00611505
HCA_F_BRA8739368	DSP1001660005648_A12	DSP1001660005648	1.00166E+12	3	ring	ROI3_ring	ROI3_ring-aoi-001	115851.4756	1943	87676	68925	928	37	35	5.405405405	HCA_F_BRA8739368	1	1	1	0.043598114	0.016814596	0.00611505
