Sample_ID	Raw	Trimmed	Stitched	Aligned	Unique
HCA_F_BRA8739081	1186388	1185515	1151491	519163	228006
HCA_F_BRA8739082	8582710	8577679	8331554	5218409	1651008
HCA_F_BRA8739083	11741017	11734057	11405826	6468839	2055711
HCA_F_BRA8739084	17720489	17711044	17207935	9709393	3053632
HCA_F_BRA8739085	9024316	9018362	8762450	5259231	1602240
HCA_F_BRA8739086	12370363	12360775	11997614	8100310	2450238
HCA_F_BRA8739087	33129497	33111431	32154503	15212115	6671316
HCA_F_BRA8739088	36144817	36127192	35087042	16193037	6847574
HCA_F_BRA8739089	1627854	1626185	1581216	1299883	419584
HCA_F_BRA8739090	5571348	5567897	5414037	3970645	1231553
HCA_F_BRA8739091	13522570	13514349	13135126	7398829	2490893
HCA_F_BRA8739092	12633389	12625602	12262977	6986249	2252719
HCA_F_BRA8739093	6314773	6310569	6133233	3901258	1331798
HCA_F_BRA8739094	7699447	7694142	7474223	5109348	1847332
HCA_F_BRA8739095	3414931	3412689	3315139	1662337	774203
HCA_F_BRA8739096	6156491	6151351	5966463	2629681	1278425
HCA_F_BRA8739097	25411995	25399601	24700164	15447604	5460324
HCA_F_BRA8739098	6774881	6770342	6580858	3753690	1429695
HCA_F_BRA8739099	9143708	9138259	8882995	5074762	2588915
HCA_F_BRA8739100	10189903	10183945	9894708	5604056	1906598
HCA_F_BRA8739101	5580171	5576701	5421392	3307686	1120962
HCA_F_BRA8739102	9388586	9382546	9119345	6090117	2145186
HCA_F_BRA8739103	5694466	5690716	5527369	2813204	1251141
HCA_F_BRA8739105	18038284	18025985	17503646	10551648	3802124
HCA_F_BRA8739107	3277915	3275899	3180248	1843602	934737
HCA_F_BRA8739108	6731224	6727630	6540520	3876403	1361288
HCA_F_BRA8739109	1576601	1575737	1531203	882001	370971
HCA_F_BRA8739110	1820334	1818987	1767110	1209004	667793
HCA_F_BRA8739111	12260617	12252585	11901474	5707463	2706123
HCA_F_BRA8739112	14991177	14981985	14548491	6127460	2999162
HCA_F_BRA8739113	11871573	11863423	11530619	6999335	2433834
HCA_F_BRA8739115	5339160	5336450	5187338	2921238	1235685
HCA_F_BRA8739116	12558414	12553436	12207659	7222794	2701224
HCA_F_BRA8739119	13505306	13496637	13115932	6314747	2479758
HCA_F_BRA8739121	6008169	6004358	5837767	3775606	1198683
HCA_F_BRA8739122	2868171	2863372	2783122	1603575	692739
HCA_F_BRA8739123	10922589	10915122	10607535	5932818	2081059
HCA_F_BRA8739124	17332466	17325465	16855817	9857968	3353173
HCA_F_BRA8739125	11182201	11177238	10867679	6239960	2297839
HCA_F_BRA8739126	7620301	7615918	7401125	4896237	1560872
HCA_F_BRA8739127	3468131	3465152	3364973	1648890	762262
HCA_F_BRA8739128	5067475	5064508	4920492	2371236	1038033
HCA_F_BRA8739129	5889542	5883531	5709485	3875431	1135165
HCA_F_BRA8739130	12287897	12280781	11938812	6838930	2272393
HCA_F_BRA8739131	14375814	14367740	13964065	7771448	2613888
HCA_F_BRA8739132	18647869	18638518	18129548	10572617	3682310
HCA_F_BRA8739133	4504478	4501642	4378057	3017545	958931
HCA_F_BRA8739134	19253742	19243975	18711513	11741240	4178999
HCA_F_BRA8739136	7603844	7599653	7380129	3692049	1565033
HCA_F_BRA8739137	5692583	5688285	5525842	3627970	1242580
HCA_F_BRA8739138	19444403	19434279	18888445	10739259	3423560
HCA_F_BRA8739139	14604863	14597295	14182183	8049746	2470549
HCA_F_BRA8739141	5105578	5102662	4959518	3354978	1102675
HCA_F_BRA8739142	9936384	9930619	9656355	6265710	1961116
HCA_F_BRA8739143	7924629	7919339	7695114	3756569	1681747
HCA_F_BRA8739144	17272473	17263184	16769694	7933258	3673225
HCA_F_BRA8739145	7743317	7738287	7524641	4803627	1545087
HCA_F_BRA8739146	18817017	18804001	18274949	10269004	3502184
HCA_F_BRA8739147	3700525	3697594	3588830	2049801	823916
HCA_F_BRA8739149	2735337	2730012	2636785	1707414	347727
HCA_F_BRA8739150	7496874	7485829	7243811	4645611	1223185
HCA_F_BRA8739151	25929299	25916815	25179239	12099969	4148794
HCA_F_BRA8739152	25889168	25875044	25143596	11691936	4444187
HCA_F_BRA8739153	8948297	8942397	8689007	5435097	1729542
HCA_F_BRA8739154	4279521	4275580	4151753	2281017	1453246
HCA_F_BRA8739155	4982129	4979171	4838171	2663199	1102113
HCA_F_BRA8739156	7055707	7050528	6846578	4041454	1457168
HCA_F_BRA8739157	4217206	4214626	4099271	2758313	866138
HCA_F_BRA8739158	11769877	11762758	11430730	6716279	2168800
HCA_F_BRA8739159	9034169	9029213	8770480	4007174	1683339
HCA_F_BRA8739160	4064283	4062002	3946707	1939756	840412
HCA_F_BRA8739161	5582938	5577282	5414896	3379696	1616338
HCA_F_BRA8739163	14649305	14637926	14218740	7970050	3042448
HCA_F_BRA8739164	12277705	12269856	11915688	6767337	2054735
HCA_F_BRA8739165	13175024	13167347	12805077	9377984	3009040
HCA_F_BRA8739168	6049084	6045942	5872135	2921497	1246321
HCA_F_BRA8739169	17877119	17866823	17368322	10237641	3355151
HCA_F_BRA8739170	12286329	12278255	11928920	6422495	2350745
HCA_F_BRA8739171	13106125	13097447	12722998	6978066	2276705
HCA_F_BRA8739172	7758481	7753033	7532328	4326839	1627072
HCA_F_BRA8739173	13692326	13684260	13305220	9498127	3261298
HCA_F_BRA8739174	6127297	6123822	5951671	2621004	1133180
HCA_F_BRA8739175	15081968	15073721	14644863	6717667	3229814
HCA_F_BRA8739176	12010429	12004338	11663279	5426600	2380328
HCA_F_BRA8739177	32992473	32975740	32028428	14663629	5661198
HCA_F_BRA8739178	19364718	19355007	18818108	10077434	3351762
HCA_F_BRA8739179	34799037	34750270	33716384	14460985	5638478
HCA_F_BRA8739180	29156932	29138295	28310309	11881812	4359968
HCA_F_BRA8739181	16331688	16323587	15849993	7025286	2268610
HCA_F_BRA8739182	42640865	42619626	41405969	19679503	6647859
HCA_F_BRA8739183	30436301	30421112	29553827	13251547	4729597
HCA_F_BRA8739184	31892886	31876653	30971707	15275078	6394043
HCA_F_BRA8739185	14483307	14475488	14056519	6337437	2149630
HCA_F_BRA8739186	32034752	32021275	31118446	15279262	5112762
HCA_F_BRA8739187	29045862	29034057	28211695	12350670	4443436
HCA_F_BRA8739188	3804850	3802612	3693228	1629888	705401
HCA_F_BRA8739189	5412677	5408887	5251070	2331795	1049071
HCA_F_BRA8739190	6487080	6483478	6297522	3088692	1220469
HCA_F_BRA8739191	6532614	6528905	6342982	2800300	795070
HCA_F_BRA8739192	33605129	33589093	32633731	16025455	6729335
HCA_F_BRA8739193	27581028	27567382	26793780	11053590	4395725
HCA_F_BRA8739194	47395084	47371763	46000002	22849877	9214752
HCA_F_BRA8739195	15729105	15720948	15276398	7413961	2475638
HCA_F_BRA8739196	1260624	1259430	1222484	559707	244345
HCA_F_BRA8739198	7524502	7520864	7307517	3674422	1453563
HCA_F_BRA8739199	2740484	2739008	2661696	1176425	352125
HCA_F_BRA8739200	19458419	19449013	18898498	9770294	3263644
HCA_F_BRA8739201	34087129	34069426	33095622	13877605	5189402
HCA_F_BRA8739202	56289295	56262729	54642418	25814632	11349867
HCA_F_BRA8739204	12951058	12944349	12569850	5398202	2360266
HCA_F_BRA8739205	19456531	19447375	18890519	8053111	3744844
HCA_F_BRA8739206	15643067	15635665	15191501	7218056	3131026
HCA_F_BRA8739207	1320051	1319259	1281936	562426	160000
HCA_F_BRA8739208	18626700	18618360	18091383	9075121	3166014
HCA_F_BRA8739209	33421747	33406458	32451892	13996944	5347556
HCA_F_BRA8739210	50316401	50292631	48840008	22916278	10758284
HCA_F_BRA8739211	14444770	14427410	14019387	7443150	2576964
HCA_F_BRA8739212	41308397	41289921	40118444	17307911	6434422
HCA_F_BRA8739213	37243250	37222706	36116412	15600233	7168241
HCA_F_BRA8739214	17745193	17736316	17233150	8110520	2830464
HCA_F_BRA8739216	11976280	11969207	11626789	6177032	2138731
HCA_F_BRA8739217	29522049	29508507	28677220	12994040	4845861
HCA_F_BRA8739218	13928627	13921240	13521909	6252310	1938813
HCA_F_BRA8739219	3457323	3454507	3358024	1636823	1277409
HCA_F_BRA8739221	7269835	7266329	7058776	3264927	1293560
HCA_F_BRA8739222	4042501	4040669	3925461	1859351	735058
HCA_F_BRA8739224	32908025	32894377	31958646	15608732	6319478
HCA_F_BRA8739225	35021570	35005415	33997559	16011578	6491954
HCA_F_BRA8739226	26016425	26004357	25245821	10601114	3577489
HCA_F_BRA8739227	58260821	58233536	56543527	26891405	12965721
HCA_F_BRA8739228	9024862	9020330	8762125	4094515	1631930
HCA_F_BRA8739230	5808306	5805347	5638877	2736477	1030114
HCA_F_BRA8739231	36701799	36684408	35629833	14927887	5306043
HCA_F_BRA8739232	55728071	55702899	54099697	27097103	12604558
HCA_F_BRA8739233	34914641	34897816	33924288	16684339	6407267
HCA_F_BRA8739234	27633061	27619791	26827731	11505652	4221740
HCA_F_BRA8739235	4915068	4910571	4771841	2208805	1912848
HCA_F_BRA8739236	17402533	17394548	16892706	7675241	3525929
HCA_F_BRA8739237	18201568	18194018	17677735	8001308	3411526
HCA_F_BRA8739238	11618363	11613542	11284283	5340424	2213701
HCA_F_BRA8739239	45674215	45654789	44356880	18883776	7349655
HCA_F_BRA8739240	52695556	52672033	51127459	26000388	12238569
